symbol,internalId,name,category,importance,definition,whyRevenue,application,caseIndependent,caseChain,related,editorial_status,editorial_notes
"RM","RM__BRM","Revenue Management","Fundamentos Revenue","5","Disciplina que busca maximizar los ingresos y la rentabilidad mediante la gestión estratégica de precios, inventario, demanda, canales y segmentación.","Es el núcleo estratégico de la disciplina. Permite coordinar la fijación de precios, la gestión de inventario y la distribución para maximizar la rentabilidad de las habitaciones.","Diseñar la estrategia mensual de tarifas basada en analítica predictiva, perfiles de demanda e históricos del mercado.","Un hotel boutique rural de 20 habitaciones contrata un Revenue Consultant externo para estructurar sus tarifas por primera vez ante temporadas alta de verano.","Una cadena multinacional centraliza sus políticas de Revenue Management a nivel regional cruzando datos de ocupación agregados en tiempo real con su PMS.","[""PR"",""CU"",""MO"",""P"",""C""]","VALIDADO_V2",""
"PR","PR__BRM","Producto","Fundamentos Revenue","5","Conjunto de servicios, atributos y experiencias que el hotel ofrece al cliente y que justifican su valor percibido.","La fijación de precios define la competitividad del hotel y el valor percibido por los huéspedes en cada punto de interacción en su ciclo de compra.","Ajustar las tarifas de forma ágil respondiendo a las fluctuaciones diarias de la ocupación y la oferta de la competencia directa.","Un hostal en Granada incrementa su tarifa del fin de semana de forma proactiva cuando las visitas oficiales a la Alhambra agotan sus pases.","Una firma corporativa de primer nivel aplica algoritmos automatizados que revalúan y actualizan mil tarifas simultáneamente cada hora según la ventana residual de reserva.","[""RM"",""CU"",""MO"",""P"",""C""]","VALIDADO_V2",""
"CU","CU__BRM","Cliente","Fundamentos Revenue","5","Persona, empresa o segmento que compra o consume los servicios del hotel, con necesidades y sensibilidad al precio diferentes.","Comprender los deseos y necesidades de los clientes específicos (Target Customer) permite ajustar la arquitectura de tarifas y el tono de marketing para maximizar la conversión.","Crear perfiles detallados del comprador ideal segmentados por motivación del viaje, nivel de gastos y flexibilidad horaria.","Un hotel de diseño ecológico en Asturias orienta su contenido web y paquetes hacia escapadas de parejas interesadas en senderismo sostenible.","Un grupo hotelero internacional utiliza su base de datos CRM avanzada para lanzar recomendaciones de personalización a los miembros de su club de fidelidad.","[""RM"",""PR"",""MO"",""P"",""C""]","VALIDADO_V2",""
"YM","YM__BRM","Yield Management","Fundamentos Revenue","5","Técnica enfocada en vender la capacidad adecuada, al cliente adecuado, en el momento adecuado y al mejor precio posible.","Establece bases indispensables para calibrar la rentabilidad hotelera general. Técnica enfocada en vender la capacidad adecuada, al cliente adecuado, en el momento adecuado y al mejor precio posible.","Utilizar los parámetros del rubro para optimizar el ingreso y la ocupación. Sintoniza las tácticas comerciales semanales con los objetivos de venta anuales.","Un hotel boutique rural rediseña su propuesta en el canal de metabúsqueda.","Una cadena multinacional unifica las tácticas del departamento integrado con soporte CRS.","[""RM"",""PR"",""CU"",""MO"",""P""]","VALIDADO_V2",""
"MO","MO__BRM","Momento","Fundamentos Revenue","5","Variable temporal que condiciona la demanda, la urgencia de compra y la disposición a pagar del cliente.","Establece bases indispensables para calibrar la rentabilidad hotelera general. Variable temporal que condiciona la demanda, la urgencia de compra y la disposición a pagar del cliente.","Utilizar los parámetros del rubro para optimizar el ingreso y la ocupación. Sintoniza las tácticas comerciales semanales con los objetivos de venta anuales.","Un hotel boutique rural rediseña su propuesta en el canal de metabúsqueda.","Una cadena multinacional unifica las tácticas del departamento integrado con soporte CRS.","[""RM"",""PR"",""CU"",""P"",""C""]","VALIDADO_V2",""
"P","P__BRM","Precio","Fundamentos Revenue","5","Valor monetario asignado a una habitación o servicio, ajustable según demanda, competencia, canal y estrategia comercial.","Establece bases indispensables para calibrar la rentabilidad hotelera general. Valor monetario asignado a una habitación o servicio, ajustable según demanda, competencia, canal y estrategia comercial.","Utilizar los parámetros del rubro para optimizar el ingreso y la ocupación. Sintoniza las tácticas comerciales semanales con los objetivos de venta anuales.","Un hotel boutique rural rediseña su propuesta en el canal de metabúsqueda.","Una cadena multinacional unifica las tácticas del departamento integrado con soporte CRS.","[""RM"",""PR"",""CU"",""MO"",""C""]","VALIDADO_V2",""
"C","C__BRM","Canal","Fundamentos Revenue","5","Medio por el que el cliente llega a la reserva, como web directa, OTA, agencia, GDS o teléfono.","Establece bases indispensables para calibrar la rentabilidad hotelera general. Medio por el que el cliente llega a la reserva, como web directa, OTA, agencia, GDS o teléfono.","Utilizar los parámetros del rubro para optimizar el ingreso y la ocupación. Sintoniza las tácticas comerciales semanales con los objetivos de venta anuales.","Un hotel boutique rural rediseña su propuesta en el canal de metabúsqueda.","Una cadena multinacional unifica las tácticas del departamento integrado con soporte CRS.","[""RM"",""PR"",""CU"",""MO"",""P""]","VALIDADO_V2",""
"FX","FX__CAR","Capacidad Fija","Características","4","Limitación estructural de habitaciones, mesas, asientos o recursos disponibles que no puede ampliarse fácilmente a corto plazo.","Aborda las limitaciones y naturaleza específicas del inventario hotelero (perecedero, inelástico, de altos costes fijos). Limitación estructural de habitaciones, mesas, asientos o recursos disponibles que no puede ampliarse fácilmente a corto plazo.","Gestionar el inventario restante de manera defensiva, sabiendo que una noche de hotel no vendida representa un ingreso perdido para siempre. Sintoniza las tácticas comerciales semanales con los objetivos de venta anuales.","Un hotel familiar en un pueblo de montaña ajusta su oferta sabiendo que la venta de hoy no se puede almacenar para el invierno.","Una cadena de hoteles de negocios utiliza algoritmos y overbooking calculado por IA para compensar cancelaciones espontáneas no deseadas.","[""VD"",""PI"",""AS"",""SG"",""VP""]","VALIDADO_V2",""
"VD","VD__CAR","Demanda Variable","Características","4","Comportamiento fluctuante de la demanda según temporada, eventos, día de la semana, mercado emisor y comportamiento del cliente.","Aborda las limitaciones y naturaleza específicas del inventario hotelero (perecedero, inelástico, de altos costes fijos). Comportamiento fluctuante de la demanda según temporada, eventos, día de la semana, mercado emisor y comportamiento del cliente.","Gestionar el inventario restante de manera defensiva, sabiendo que una noche de hotel no vendida representa un ingreso perdido para siempre. Sintoniza las tácticas comerciales semanales con los objetivos de venta anuales.","Un hotel familiar en un pueblo de montaña ajusta su oferta sabiendo que la venta de hoy no se puede almacenar para el invierno.","Una cadena de hoteles de negocios utiliza algoritmos y overbooking calculado por IA para compensar cancelaciones espontáneas no deseadas.","[""FX"",""PI"",""AS"",""SG"",""VP""]","VALIDADO_V2",""
"PI","PI__CAR","Inventario Perecedero","Características","4","Inventario que pierde valor si no se vende a tiempo, como una habitación vacía en una noche concreta.","Aborda las limitaciones y naturaleza específicas del inventario hotelero (perecedero, inelástico, de altos costes fijos). Inventario que pierde valor si no se vende a tiempo, como una habitación vacía en una noche concreta.","Gestionar el inventario restante de manera defensiva, sabiendo que una noche de hotel no vendida representa un ingreso perdido para siempre. Sintoniza las tácticas comerciales semanales con los objetivos de venta anuales.","Un hotel familiar en un pueblo de montaña ajusta su oferta sabiendo que la venta de hoy no se puede almacenar para el invierno.","Una cadena de hoteles de negocios utiliza algoritmos y overbooking calculado por IA para compensar cancelaciones espontáneas no deseadas.","[""FX"",""VD"",""AS"",""SG"",""VP""]","VALIDADO_V2",""
